x, y, z, ux, uy, uz, masse, radius, time, name
2.34655e+09, 4.45127e+09, 0, -0.335785, 25.9095, 0, 2e+30, 1.3627e+09, 2.86934e+08, Sun
-1.29908e+11, 6.98699e+10, 0, -14023.1, -26472.3, 0, 6e+24, 1.96618e+07, 2.86934e+08, Earth
-1.56599e+10, 2.50209e+11, 0, -23320.7, -1550.66, 0, 6.42e+23, 9.33507e+06, 2.86934e+08, Mars
-3.31887e+11, -4.58545e+10, 0, 2722.78, -11504.8, 0, 3.30104e+23, 7.47881e+06, 2.86934e+08, Mercury
-3.69269e+09, -1.11836e+11, 0, 33010.5, 2547.6, 0, 4.86732e+24, 1.83375e+07, 2.86934e+08, Venus
-1.04572e+12, -3.04044e+11, 0, 3409.99, -9641.65, 0, 1.89813e+27, 1.33947e+08, 2.86934e+08, Jupiter
-3.54042e+11, 1.42933e+12, 0, -9234.53, -2447.37, 0, 5.68319e+26, 8.96132e+07, 2.86934e+08, Saturn
2.41707e+12, 1.77716e+12, 0, -3973.83, 5331.87, 0, 8.68103e+25, 4.79062e+07, 2.86934e+08, Uranus
4.27266e+12, 1.53619e+12, 0, -1824.27, 5142.69, 0, 1.0241e+26, 5.0619e+07, 2.86934e+08, Neptune
