x, y, z, ux, uy, uz, masse, radius, time, name
2.1634e+09, 2.85957e+09, 0, 6.11087, 24.7978, 0, 2e+30, 1.3627e+09, 2.24726e+08, Sun
-1.10489e+11, 9.31765e+10, 0, -19692, -23437.5, 0, 6e+24, 1.96618e+07, 2.24726e+08, Earth
-1.37255e+11, 2.08851e+11, 0, -19246.7, -12750.2, 0, 6.42e+23, 9.33507e+06, 2.24726e+08, Mars
-2.74006e+11, 9.5041e+10, 0, -12414.1, -10194.8, 0, 3.30104e+23, 7.47881e+06, 2.24726e+08, Mercury
-2.19877e+10, -1.11225e+11, 0, 32184.6, -4684.68, 0, 4.86732e+24, 1.83375e+07, 2.24726e+08, Venus
-1.04703e+12, 3.15707e+11, 0, -3370.99, -9627.56, 0, 1.89813e+27, 1.33947e+08, 2.24726e+08, Jupiter
2.33454e+11, 1.46401e+12, 0, -9398.68, 1341.88, 0, 5.68319e+26, 8.96132e+07, 2.24726e+08, Saturn
2.64036e+12, 1.42956e+12, 0, -3192.91, 5825.47, 0, 8.68103e+25, 4.79062e+07, 2.24726e+08, Uranus
4.37423e+12, 1.21234e+12, 0, -1439.27, 5264.68, 0, 1.0241e+26, 5.0619e+07, 2.24726e+08, Neptune
