x, y, z, ux, uy, uz, masse, radius, time, name
1.70534e+09, 1.62912e+09, 0, 10.6519, 20.7621, 0, 2e+30, 1.3627e+09, 1.71158e+08, Sun
-9.12269e+10, -1.08795e+11, 0, 22869, -20210.3, 0, 6e+24, 1.96618e+07, 1.71158e+08, Earth
-2.36938e+11, -6.57287e+10, 0, 6221.38, -22262.1, 0, 6.42e+23, 9.33507e+06, 1.71158e+08, Mars
-2.14939e+11, 1.2946e+11, 0, -18639.9, -7287.81, 0, 3.30104e+23, 7.47881e+06, 1.71158e+08, Mercury
9.93798e+10, -2.21811e+10, 0, 6673.04, 37145.2, 0, 4.86732e+24, 1.83375e+07, 1.71158e+08, Venus
-7.21403e+11, 7.59324e+11, 0, -8594.68, -6427.93, 0, 1.89813e+27, 1.33947e+08, 1.71158e+08, Jupiter
7.13639e+11, 1.30853e+12, 0, -8355.02, 4402.41, 0, 5.68319e+26, 8.96132e+07, 1.71158e+08, Saturn
2.79232e+12, 1.10814e+12, 0, -2472.9, 6161.12, 0, 8.68103e+25, 4.79062e+07, 1.71158e+08, Uranus
4.44231e+12, 9.28037e+11, 0, -1101.14, 5346.5, 0, 1.0241e+26, 5.0619e+07, 1.71158e+08, Neptune
