x, y, z, ux, uy, uz, masse, radius, time, name
1.60794e+09, 7.22947e+09, 0, -9.57452, 16.122, 0, 2e+30, 1.3627e+09, 4.1135e+08, Sun
-1.4775e+11, 1.64856e+10, 0, -1333.58, -29645.1, 0, 6e+24, 1.96618e+07, 4.1135e+08, Earth
1.94837e+11, 1.61074e+11, 0, -14328.4, 18229.8, 0, 6.42e+23, 9.33507e+06, 4.1135e+08, Mars
2.0694e+10, -1.07279e+11, 0, 30448.4, 26692.8, 0, 3.30104e+23, 7.47881e+06, 4.1135e+08, Mercury
8.39659e+10, 6.34022e+10, 0, -18625.5, 33654.9, 0, 4.86732e+24, 1.83375e+07, 4.1135e+08, Venus
5.31862e+10, -9.17913e+11, 0, 11946.1, 2434.11, 0, 1.89813e+27, 1.33947e+08, 4.1135e+08, Jupiter
-1.26947e+12, 7.13009e+11, 0, -4643.06, -8442.1, 0, 5.68319e+26, 8.96132e+07, 4.1135e+08, Saturn
1.83653e+12, 2.36419e+12, 0, -5298.72, 4043.33, 0, 8.68103e+25, 4.79062e+07, 4.1135e+08, Uranus
3.99933e+12, 2.15679e+12, 0, -2560.75, 4815.69, 0, 1.0241e+26, 5.0619e+07, 4.1135e+08, Neptune
