x, y, z, ux, uy, uz, masse, radius, time, name
1.89604e+09, 6.66515e+09, 0, -8.60457, 20.2259, 0, 2e+30, 1.3627e+09, 3.80246e+08, Sun
-1.42363e+11, 1.61964e+10, 0, -2316.86, -30302, 0, 6e+24, 1.96618e+07, 3.80246e+08, Earth
-1.58945e+11, -1.79857e+11, 0, 17739.4, -15110.9, 0, 6.42e+23, 9.33507e+06, 3.80246e+08, Mars
-3.12935e+11, 6.13866e+10, 0, -8241.19, -11243.3, 0, 3.30104e+23, 7.47881e+06, 3.80246e+08, Mercury
-1.17848e+11, 8.9986e+09, 0, -521.694, -31444.7, 0, 4.86732e+24, 1.83375e+07, 3.80246e+08, Venus
-3.13178e+11, -9.21961e+11, 0, 11338.4, -2051.56, 0, 1.89813e+27, 1.33947e+08, 3.80246e+08, Jupiter
-1.0996e+12, 9.59137e+11, 0, -6243.67, -7325.52, 0, 5.68319e+26, 8.96132e+07, 3.80246e+08, Saturn
1.99677e+12, 2.23284e+12, 0, -5000.4, 4400.32, 0, 8.68103e+25, 4.79062e+07, 3.80246e+08, Uranus
4.0762e+12, 2.00556e+12, 0, -2381.29, 4907.64, 0, 1.0241e+26, 5.0619e+07, 3.80246e+08, Neptune
