x, y, z, ux, uy, uz, masse, radius, time, name
1.47464e+09, 7.4394e+09, 0, -9.63292, 14.101, 0, 2e+30, 1.3627e+09, 4.25174e+08, Sun
1.38403e+11, -3.51878e+10, 0, 9605.47, 29231.6, 0, 6e+24, 1.96618e+07, 4.25174e+08, Earth
-9.43875e+10, 2.34275e+11, 0, -21396.7, -9071.6, 0, 6.42e+23, 9.33507e+06, 4.25174e+08, Mars
-2.25505e+11, 1.28744e+11, 0, -18357.9, -7788.64, 0, 3.30104e+23, 7.47881e+06, 4.25174e+08, Mercury
-2.10099e+10, -1.00316e+11, 0, 34740.1, -3173.1, 0, 4.86732e+24, 1.83375e+07, 4.25174e+08, Venus
2.1656e+11, -8.69169e+11, 0, 11622.1, 4613.41, 0, 1.89813e+27, 1.33947e+08, 4.25174e+08, Jupiter
-1.32826e+12, 5.93518e+11, 0, -3860.93, -8831, 0, 5.68319e+26, 8.96132e+07, 4.25174e+08, Saturn
1.7624e+12, 2.41894e+12, 0, -5422.61, 3878.03, 0, 8.68103e+25, 4.79062e+07, 4.25174e+08, Uranus
3.96338e+12, 2.22306e+12, 0, -2639.37, 4772.58, 0, 1.0241e+26, 5.0619e+07, 4.25174e+08, Neptune
