x, y, z, ux, uy, uz, masse, radius, time, name
7.00897e+07, 1.45983e+07, 0, 5.21873, 1.27847, 0, 2e+30, 1.3627e+09, 2.60064e+07, Sun
8.87167e+10, -1.19481e+11, 0, 23701.8, 17805.7, 0, 6e+24, 1.96618e+07, 2.60064e+07, Earth
-1.8712e+11, 1.61267e+11, 0, -15266.1, -17558.9, 0, 6.42e+23, 9.33507e+06, 2.60064e+07, Mars
-3.61506e+11, -4.79346e+09, 0, -822.169, -10849.4, 0, 3.30104e+23, 7.47881e+06, 2.60064e+07, Mercury
-6.5409e+10, 8.43718e+10, 0, -28545.6, -20674.9, 0, 4.86732e+24, 1.83375e+07, 2.60064e+07, Venus
7.4956e+11, 3.46795e+11, 0, -4978.63, 12612.7, 0, 1.89813e+27, 1.33947e+08, 2.60064e+07, Jupiter
1.48392e+12, 2.4209e+11, 0, -1534.9, 9227.05, 0, 5.68319e+26, 8.96132e+07, 2.60064e+07, Saturn
3.00139e+12, 1.72379e+11, 0, -382.354, 6621.12, 0, 8.68103e+25, 4.79062e+07, 2.60064e+07, Uranus
4.53468e+12, 1.41972e+11, 0, -168.47, 5457.38, 0, 1.0241e+26, 5.0619e+07, 2.60064e+07, Neptune
