x, y, z, ux, uy, uz, masse, radius, time, name
2.0477e+09, 6.26527e+09, 0, -7.43447, 22.0169, 0, 2e+30, 1.3627e+09, 3.61238e+08, Sun
9.10099e+10, -1.08327e+11, 0, 24108.1, 18376.6, 0, 6e+24, 1.96618e+07, 3.61238e+08, Earth
-1.50985e+11, 2.0403e+11, 0, -18207.8, -14122, 0, 6.42e+23, 9.33507e+06, 3.61238e+08, Mars
6.40392e+10, -4.82524e+10, 0, 20422.3, 46334.4, 0, 3.30104e+23, 7.47881e+06, 3.61238e+08, Mercury
-1.17454e+11, 1.07969e+09, 0, 1701.96, -31442, 0, 4.86732e+24, 1.83375e+07, 3.61238e+08, Venus
-5.19228e+11, -8.60615e+11, 0, 10269.4, -4355.07, 0, 1.89813e+27, 1.33947e+08, 3.61238e+08, Jupiter
-9.72738e+11, 1.09068e+12, 0, -7088.54, -6496.19, 0, 5.68319e+26, 8.96132e+07, 3.61238e+08, Saturn
2.09002e+12, 2.14722e+12, 0, -4808.2, 4606.84, 0, 8.68103e+25, 4.79062e+07, 3.61238e+08, Uranus
4.12041e+12, 1.91177e+12, 0, -2269.95, 4960.44, 0, 1.0241e+26, 5.0619e+07, 3.61238e+08, Neptune
