x, y, z, ux, uy, uz, masse, radius, time, name
2.315e+09, 3.73587e+09, 0, 2.60139, 25.9466, 0, 2e+30, 1.3627e+09, 2.59286e+08, Sun
-1.45545e+11, -1.35676e+10, 0, 2849.02, -29548.3, 0, 6e+24, 1.96618e+07, 2.59286e+08, Earth
1.48044e+11, -1.99572e+11, 0, 18691.6, 13474.9, 0, 6.42e+23, 9.33507e+06, 2.59286e+08, Mars
6.76823e+10, -3.91909e+10, 0, 17322.8, 49337.5, 0, 3.30104e+23, 7.47881e+06, 2.59286e+08, Mercury
-1.27101e+11, 1.22747e+10, 0, -4648.29, -29394, 0, 4.86732e+24, 1.83375e+07, 2.59286e+08, Venus
-1.09862e+12, -2.90622e+10, 0, 395.033, -10121.1, 0, 1.89813e+27, 1.33947e+08, 2.59286e+08, Jupiter
-9.44122e+10, 1.47393e+12, 0, -9496.51, -769.041, 0, 5.68319e+26, 8.96132e+07, 2.59286e+08, Saturn
2.5223e+12, 1.62648e+12, 0, -3634.96, 5564.92, 0, 8.68103e+25, 4.79062e+07, 2.59286e+08, Uranus
4.32076e+12, 1.3932e+12, 0, -1654.31, 5200.45, 0, 1.0241e+26, 5.0619e+07, 2.59286e+08, Neptune
