x, y, z, ux, uy, uz, masse, radius, time, name
2.24614e+09, 3.24956e+09, 0, 4.49862, 25.3529, 0, 2e+30, 1.3627e+09, 2.40278e+08, Sun
1.18731e+11, -8.91647e+10, 0, 18365.1, 23422.1, 0, 6e+24, 1.96618e+07, 2.40278e+08, Earth
-2.23314e+11, -1.06473e+11, 0, 9990.62, -20595.8, 0, 6.42e+23, 9.33507e+06, 2.40278e+08, Mars
-3.11291e+11, -8.29444e+10, 0, 6939.06, -10720.9, 0, 3.30104e+23, 7.47881e+06, 2.40278e+08, Mercury
-1.17717e+11, -2.29472e+10, 0, 5398.6, -30400, 0, 4.86732e+24, 1.83375e+07, 2.40278e+08, Venus
-1.08637e+12, 1.62751e+11, 0, -1690.74, -9999.66, 0, 1.89813e+27, 1.33947e+08, 2.40278e+08, Jupiter
8.63649e+10, 1.47751e+12, 0, -9500.82, 396.99, 0, 5.68319e+26, 8.96132e+07, 2.40278e+08, Saturn
2.58913e+12, 1.51929e+12, 0, -3394.23, 5712.79, 0, 8.68103e+25, 4.79062e+07, 2.40278e+08, Uranus
4.35109e+12, 1.294e+12, 0, -1536.37, 5236.88, 0, 1.0241e+26, 5.0619e+07, 2.40278e+08, Neptune
