x, y, z, ux, uy, uz, masse, radius, time, name
4.55603e+07, 9.10695e+06, 0, 4.19817, 0.856366, 0, 2e+30, 1.3627e+09, 2.08224e+07, Sun
-5.62962e+10, -1.38109e+11, 0, 27164.3, -11689.8, 0, 6e+24, 1.96618e+07, 2.08224e+07, Earth
-8.96086e+10, 2.30231e+11, 0, -21710.8, -8367.9, 0, 6.42e+23, 9.33507e+06, 2.08224e+07, Mars
-3.43529e+11, 5.0893e+10, 0, -6268.3, -10477.4, 0, 3.30104e+23, 7.47881e+06, 2.08224e+07, Mercury
9.43612e+10, 5.27301e+10, 0, -17222.6, 30575.1, 0, 4.86732e+24, 1.83375e+07, 2.08224e+07, Venus
7.73012e+11, 2.80397e+11, 0, -4068.39, 12994, 0, 1.89813e+27, 1.33947e+08, 2.08224e+07, Jupiter
1.4911e+12, 1.9414e+11, 0, -1230.87, 9271.21, 0, 5.68319e+26, 8.96132e+07, 2.08224e+07, Saturn
3.00318e+12, 1.38045e+11, 0, -306.965, 6624.99, 0, 8.68103e+25, 4.79062e+07, 2.08224e+07, Uranus
4.53546e+12, 1.13679e+11, 0, -134.785, 5458.32, 0, 1.0241e+26, 5.0619e+07, 2.08224e+07, Neptune
