x, y, z, ux, uy, uz, masse, radius, time, name
2.3433e+09, 4.58513e+09, 0, -0.871426, 25.7415, 0, 2e+30, 1.3627e+09, 2.92118e+08, Sun
-1.22817e+11, -7.7007e+10, 0, 15864.1, -24961.5, 0, 6e+24, 1.96618e+07, 2.92118e+08, Earth
-1.29646e+11, 2.1318e+11, 0, -19835.5, -12264, 0, 6.42e+23, 9.33507e+06, 2.92118e+08, Mars
-3.01856e+11, -1.02096e+11, 0, 8809.83, -10003.9, 0, 3.30104e+23, 7.47881e+06, 2.92118e+08, Mercury
9.75501e+10, 2.45129e+10, 0, -7264.36, 38665.6, 0, 4.86732e+24, 1.83375e+07, 2.92118e+08, Venus
-1.02658e+12, -3.53571e+11, 0, 3963.5, -9464.17, 0, 1.89813e+27, 1.33947e+08, 2.92118e+08, Jupiter
-4.01699e+11, 1.41582e+12, 0, -9151.56, -2757.54, 0, 5.68319e+26, 8.96132e+07, 2.92118e+08, Saturn
2.39631e+12, 1.80468e+12, 0, -4035.79, 5285.86, 0, 8.68103e+25, 4.79062e+07, 2.92118e+08, Uranus
4.26312e+12, 1.56282e+12, 0, -1855.92, 5131.24, 0, 1.0241e+26, 5.0619e+07, 2.92118e+08, Neptune
