x, y, z, ux, uy, uz, masse, radius, time, name
2.33748e+09, 4.04878e+09, 0, 1.31175, 25.73, 0, 2e+30, 1.3627e+09, 2.71382e+08, Sun
1.23045e+11, -7.77812e+10, 0, 16760, 25297.8, 0, 6e+24, 1.96618e+07, 2.71382e+08, Earth
2.46511e+11, 4.69687e+10, 0, -4118.85, 22889.9, 0, 6.42e+23, 9.33507e+06, 2.71382e+08, Mars
-2.25622e+11, 1.25323e+11, 0, -17988.3, -7909.72, 0, 3.30104e+23, 7.47881e+06, 2.71382e+08, Mercury
9.76506e+10, 2.56949e+10, 0, -8186.1, 38531.7, 0, 4.86732e+24, 1.83375e+07, 2.71382e+08, Venus
-1.08575e+12, -1.50945e+11, 0, 1722.86, -10007.5, 0, 1.89813e+27, 1.33947e+08, 2.71382e+08, Jupiter
-2.0887e+11, 1.46012e+12, 0, -9419.69, -1504.71, 0, 5.68319e+26, 8.96132e+07, 2.71382e+08, Saturn
2.47742e+12, 1.69319e+12, 0, -3784.92, 5465.55, 0, 8.68103e+25, 4.79062e+07, 2.71382e+08, Uranus
4.30029e+12, 1.45596e+12, 0, -1728.91, 5175.87, 0, 1.0241e+26, 5.0619e+07, 2.71382e+08, Neptune
