x, y, z, ux, uy, uz, masse, radius, time, name
1.05227e+09, 6.81125e+08, 0, 13.11, 14.0941, 0, 2e+30, 1.3627e+09, 1.1759e+08, Sun
1.00832e+11, -1.03987e+11, 0, 22060.1, 21026.8, 0, 6e+24, 1.96618e+07, 1.1759e+08, Earth
-3.35528e+09, -2.45686e+11, 0, 23299.4, -542.344, 0, 6.42e+23, 9.33507e+06, 1.1759e+08, Mars
-1.64314e+11, 1.47584e+11, 0, -23520, -3111.47, 0, 3.30104e+23, 7.47881e+06, 1.1759e+08, Mercury
3.93299e+09, 1.03955e+11, 0, -36295.9, 4181.14, 0, 4.86732e+24, 1.83375e+07, 1.1759e+08, Venus
-1.63516e+11, 9.50603e+11, 0, -11713.9, -220.804, 0, 1.89813e+27, 1.33947e+08, 1.1759e+08, Jupiter
1.11188e+12, 1.00248e+12, 0, -6371.74, 6911.88, 0, 5.68319e+26, 8.96132e+07, 1.1759e+08, Saturn
2.90477e+12, 7.71091e+11, 0, -1719.32, 6408.63, 0, 8.68103e+25, 4.79062e+07, 1.1759e+08, Uranus
4.49217e+12, 6.39939e+11, 0, -758.934, 5406.33, 0, 1.0241e+26, 5.0619e+07, 1.1759e+08, Neptune
