x, y, z, ux, uy, uz, masse, radius, time, name
2.08121e+09, 2.56429e+09, 0, 7.34828, 23.8954, 0, 2e+30, 1.3627e+09, 2.1263e+08, Sun
1.48673e+11, -1.08506e+10, 0, 2420.14, 29969.8, 0, 6e+24, 1.96618e+07, 2.1263e+08, Earth
1.28325e+11, 2.15267e+11, 0, -19878.6, 11955.2, 0, 6.42e+23, 9.33507e+06, 2.1263e+08, Mars
1.18134e+10, 1.08413e+11, 0, -35149.9, 25287.9, 0, 3.30104e+23, 7.47881e+06, 2.1263e+08, Mercury
7.16526e+10, 7.03278e+10, 0, -26389.2, 28714.9, 0, 4.86732e+24, 1.83375e+07, 2.1263e+08, Venus
-9.98574e+11, 4.29549e+11, 0, -4644.79, -9167.13, 0, 1.89813e+27, 1.33947e+08, 2.1263e+08, Jupiter
3.46333e+11, 1.44343e+12, 0, -9254.82, 2064.67, 0, 5.68319e+26, 8.96132e+07, 2.1263e+08, Saturn
2.67803e+12, 1.35859e+12, 0, -3033.78, 5908.73, 0, 8.68103e+25, 4.79062e+07, 2.1263e+08, Uranus
4.39119e+12, 1.14853e+12, 0, -1363.4, 5285.05, 0, 1.0241e+26, 5.0619e+07, 2.1263e+08, Neptune
