x, y, z, ux, uy, uz, masse, radius, time, name
6.49573e+08, 3.13961e+08, 0, 12.4152, 9.40892, 0, 2e+30, 1.3627e+09, 8.64864e+07, Sun
7.73208e+10, -1.22617e+11, 0, 25793.5, 16116.6, 0, 6e+24, 1.96618e+07, 8.64864e+07, Earth
-4.47024e+10, 2.44178e+11, 0, -22801.5, -4366.09, 0, 6.42e+23, 9.33507e+06, 8.64864e+07, Mars
-3.47081e+11, -6.94314e+10, 0, 5363.66, -10190, 0, 3.30104e+23, 7.47881e+06, 8.64864e+07, Mercury
-1.05467e+11, -4.38871e+10, 0, 12413.4, -30045.3, 0, 4.86732e+24, 1.83375e+07, 8.64864e+07, Venus
2.03735e+11, 8.85773e+11, 0, -11585.3, 4487.66, 0, 1.89813e+27, 1.33947e+08, 8.64864e+07, Jupiter
1.2875e+12, 7.69704e+11, 0, -4882.32, 8009.66, 0, 5.68319e+26, 8.96132e+07, 8.64864e+07, Saturn
2.9513e+12, 5.70088e+11, 0, -1270.35, 6511.11, 0, 8.68103e+25, 4.79062e+07, 8.64864e+07, Uranus
4.51267e+12, 4.71378e+11, 0, -558.343, 5430.98, 0, 1.0241e+26, 5.0619e+07, 8.64864e+07, Neptune
