x, y, z, ux, uy, uz, masse, radius, time, name
8.91907e+07, 1.95469e+07, 0, 5.81527, 1.57241, 0, 2e+30, 1.3627e+09, 2.94624e+07, Sun
1.42722e+11, -3.41112e+10, 0, 6543.87, 29355.5, 0, 6e+24, 1.96618e+07, 2.94624e+07, Earth
-2.28907e+11, 9.29907e+10, 0, -8862.66, -21506.1, 0, 6.42e+23, 9.33507e+06, 2.94624e+07, Mars
-3.58119e+11, -4.19965e+10, 0, 2692.91, -10625, 0, 3.30104e+23, 7.47881e+06, 2.94624e+07, Mercury
-1.05731e+11, -2.2637e+10, 0, 6730.58, -34112.7, 0, 4.86732e+24, 1.83375e+07, 2.94624e+07, Venus
7.31279e+11, 3.89863e+11, 0, -5582.2, 12312.9, 0, 1.89813e+27, 1.33947e+08, 2.94624e+07, Jupiter
1.47825e+12, 2.73918e+11, 0, -1736.74, 9192.19, 0, 5.68319e+26, 8.96132e+07, 2.94624e+07, Saturn
2.99998e+12, 1.95257e+11, 0, -433.434, 6618.02, 0, 8.68103e+25, 4.79062e+07, 2.94624e+07, Uranus
4.53405e+12, 1.60832e+11, 0, -190.923, 5456.63, 0, 1.0241e+26, 5.0619e+07, 2.94624e+07, Neptune
