x, y, z, ux, uy, uz, masse, radius, time, name
2.14223e+09, 5.95252e+09, 0, -6.27501, 23.2218, 0, 2e+30, 1.3627e+09, 3.47414e+08, Sun
-1.14963e+11, 9.46667e+10, 0, -18091.4, -23817.8, 0, 6e+24, 1.96618e+07, 3.47414e+08, Earth
1.45778e+11, 2.11417e+11, 0, -18763.1, 13321.6, 0, 6.42e+23, 9.33507e+06, 3.47414e+08, Mars
-2.59896e+11, -1.37732e+11, 0, 13719.8, -7656.25, 0, 3.30104e+23, 7.47881e+06, 3.47414e+08, Mercury
9.8228e+09, -9.76722e+10, 0, 35918.1, 6040.33, 0, 4.86732e+24, 1.83375e+07, 3.47414e+08, Venus
-6.54386e+11, -7.9032e+11, 0, 9249.61, -5787.19, 0, 1.89813e+27, 1.33947e+08, 3.47414e+08, Jupiter
-8.70906e+11, 1.17593e+12, 0, -7634.53, -5825.4, 0, 5.68319e+26, 8.96132e+07, 3.47414e+08, Saturn
2.15549e+12, 2.08254e+12, 0, -4662.75, 4752.36, 0, 8.68103e+25, 4.79062e+07, 3.47414e+08, Uranus
4.15123e+12, 1.84294e+12, 0, -2188.73, 4996.96, 0, 1.0241e+26, 5.0619e+07, 3.47414e+08, Neptune
