x, y, z, ux, uy, uz, masse, radius, time, name
6.06863e+08, 2.82258e+08, 0, 12.3009, 8.91232, 0, 2e+30, 1.3627e+09, 8.30304e+07, Sun
-2.29664e+10, -1.43738e+11, 0, 29797.7, -4850.69, 0, 6e+24, 1.96618e+07, 8.30304e+07, Earth
3.50245e+10, 2.46733e+11, 0, -22939.7, 3072.69, 0, 6.42e+23, 9.33507e+06, 8.30304e+07, Mars
-3.59627e+11, -3.3236e+10, 0, 1822.62, -10703.9, 0, 3.30104e+23, 7.47881e+06, 8.30304e+07, Mercury
-9.06674e+10, 6.32626e+10, 0, -21580.8, -26038.9, 0, 4.86732e+24, 1.83375e+07, 8.30304e+07, Venus
2.43554e+11, 8.69371e+11, 0, -11449.8, 5019.37, 0, 1.89813e+27, 1.33947e+08, 8.30304e+07, Jupiter
1.30408e+12, 7.41848e+11, 0, -4704.71, 8112.94, 0, 5.68319e+26, 8.96132e+07, 8.30304e+07, Saturn
2.9556e+12, 5.47569e+11, 0, -1220.07, 6520.59, 0, 8.68103e+25, 4.79062e+07, 8.30304e+07, Uranus
4.51456e+12, 4.52605e+11, 0, -536, 5433.25, 0, 1.0241e+26, 5.0619e+07, 8.30304e+07, Neptune
