x, y, z, ux, uy, uz, masse, radius, time, name
2.17334e+09, 5.83106e+09, 0, -5.71205, 23.6097, 0, 2e+30, 1.3627e+09, 3.4223e+08, Sun
2.12843e+10, 1.51475e+11, 0, -29612.3, 4435.8, 0, 6e+24, 1.96618e+07, 3.4223e+08, Earth
2.23582e+11, 1.22338e+11, 0, -10538, 20514.7, 0, 6.42e+23, 9.33507e+06, 3.4223e+08, Mars
-3.14504e+11, -9.04608e+10, 0, 7365.64, -10316.9, 0, 3.30104e+23, 7.47881e+06, 3.4223e+08, Mercury
-1.16562e+11, -6.85466e+09, 0, 3925.69, -31298.1, 0, 4.86732e+24, 1.83375e+07, 3.4223e+08, Venus
-7.01265e+11, -7.59067e+11, 0, 8825.75, -6273.46, 0, 1.89813e+27, 1.33947e+08, 3.4223e+08, Jupiter
-8.30841e+11, 1.20546e+12, 0, -7824.1, -5561.8, 0, 5.68319e+26, 8.96132e+07, 3.4223e+08, Saturn
2.17952e+12, 2.05776e+12, 0, -4606.74, 4805.73, 0, 8.68103e+25, 4.79062e+07, 3.4223e+08, Uranus
4.1625e+12, 1.81701e+12, 0, -2157.92, 5010.48, 0, 1.0241e+26, 5.0619e+07, 3.4223e+08, Neptune
