x, y, z, ux, uy, uz, masse, radius, time, name
2.22131e+09, 3.11846e+09, 0, 5.09326, 25.1951, 0, 2e+30, 1.3627e+09, 2.35094e+08, Sun
-1.68875e+10, -1.45072e+11, 0, 29304, -4177.38, 0, 6e+24, 1.96618e+07, 2.35094e+08, Earth
-2.48434e+11, 8.32651e+09, 0, -660.205, -22889.2, 0, 6.42e+23, 9.33507e+06, 2.35094e+08, Mars
-3.31438e+11, -2.40811e+10, 0, 756.098, -11803.4, 0, 3.30104e+23, 7.47881e+06, 2.35094e+08, Mercury
-3.18719e+10, 1.04141e+11, 0, -35253.5, -6701.49, 0, 4.86732e+24, 1.83375e+07, 2.35094e+08, Venus
-1.07617e+12, 2.14354e+11, 0, -2254.8, -9902.98, 0, 1.89813e+27, 1.33947e+08, 2.35094e+08, Jupiter
1.35562e+11, 1.47464e+12, 0, -9477.25, 713.412, 0, 5.68319e+26, 8.96132e+07, 2.35094e+08, Saturn
2.60656e+12, 1.48957e+12, 0, -3327.54, 5751.33, 0, 8.68103e+25, 4.79062e+07, 2.35094e+08, Uranus
4.35897e+12, 1.26683e+12, 0, -1504.06, 5246.35, 0, 1.0241e+26, 5.0619e+07, 2.35094e+08, Neptune
