x, y, z, ux, uy, uz, masse, radius, time, name
2.32665e+09, 3.87038e+09, 0, 1.91466, 25.9172, 0, 2e+30, 1.3627e+09, 2.6447e+08, Sun
-5.92972e+10, -1.32015e+11, 0, 26981.2, -12238.3, 0, 6e+24, 1.96618e+07, 2.6447e+08, Earth
2.24564e+11, -1.09063e+11, 0, 10383.1, 20667, 0, 6.42e+23, 9.33507e+06, 2.6447e+08, Mars
-5.32038e+10, 1.38964e+11, 0, -33132.8, 9199.79, 0, 3.30104e+23, 7.47881e+06, 2.6447e+08, Mercury
-5.40102e+10, -1.0869e+11, 0, 28836.4, -10655.9, 0, 4.86732e+24, 1.83375e+07, 2.6447e+08, Venus
-1.09507e+12, -8.14615e+10, 0, 964.929, -10090.7, 0, 1.89813e+27, 1.33947e+08, 2.6447e+08, Jupiter
-1.43578e+11, 1.46911e+12, 0, -9470.43, -1087.07, 0, 5.68319e+26, 8.96132e+07, 2.6447e+08, Saturn
2.50329e+12, 1.65522e+12, 0, -3699.55, 5522.83, 0, 8.68103e+25, 4.79062e+07, 2.6447e+08, Uranus
4.3121e+12, 1.42013e+12, 0, -1686.32, 5190.05, 0, 1.0241e+26, 5.0619e+07, 2.6447e+08, Neptune
