x, y, z, ux, uy, uz, masse, radius, time, name
1.88102e+09, 6.69992e+09, 0, -8.77047, 20.018, 0, 2e+30, 1.3627e+09, 3.81974e+08, Sun
-1.36408e+11, -3.56773e+10, 0, 8592.2, -29135.1, 0, 6e+24, 1.96618e+07, 3.81974e+08, Earth
-1.26176e+11, -2.03242e+11, 0, 19991.9, -12046.1, 0, 6.42e+23, 9.33507e+06, 3.81974e+08, Mars
-3.2519e+11, 4.16552e+10, 0, -6068.44, -11551.8, 0, 3.30104e+23, 7.47881e+06, 3.81974e+08, Mercury
-1.04242e+11, -4.35001e+10, 0, 15333.3, -28237.1, 0, 4.86732e+24, 1.83375e+07, 3.81974e+08, Venus
-2.93516e+11, -9.25299e+11, 0, 11413.5, -1823.03, 0, 1.89813e+27, 1.33947e+08, 3.81974e+08, Jupiter
-1.11032e+12, 9.46414e+11, 0, -6160.98, -7396.27, 0, 5.68319e+26, 8.96132e+07, 3.81974e+08, Saturn
1.98812e+12, 2.24043e+12, 0, -5017.61, 4381.05, 0, 8.68103e+25, 4.79062e+07, 3.81974e+08, Uranus
4.07208e+12, 2.01403e+12, 0, -2391.35, 4902.69, 0, 1.0241e+26, 5.0619e+07, 3.81974e+08, Neptune
