x, y, z, ux, uy, uz, masse, radius, time, name
1.81245e+09, 1.84959e+09, 0, 9.93323, 21.7502, 0, 2e+30, 1.3627e+09, 1.81526e+08, Sun
1.48117e+11, -1.96626e+10, 0, 4529.51, 29460.5, 0, 6e+24, 1.96618e+07, 1.81526e+08, Earth
-7.73627e+10, -2.32291e+11, 0, 22004, -7383.81, 0, 6.42e+23, 9.33507e+06, 1.81526e+08, Mars
-3.25792e+11, 2.1963e+10, 0, -3728.04, -11858.8, 0, 3.30104e+23, 7.47881e+06, 1.81526e+08, Mercury
-1.14225e+11, -2.38447e+10, 0, 4994.6, -31491, 0, 4.86732e+24, 1.83375e+07, 1.81526e+08, Venus
-8.05836e+11, 6.88107e+11, 0, -7688.77, -7283.54, 0, 1.89813e+27, 1.33947e+08, 1.81526e+08, Jupiter
6.25511e+11, 1.35127e+12, 0, -8636.59, 3843.51, 0, 5.68319e+26, 8.96132e+07, 1.81526e+08, Saturn
2.76594e+12, 1.17172e+12, 0, -2615.19, 6102.88, 0, 8.68103e+25, 4.79062e+07, 1.81526e+08, Uranus
4.43055e+12, 9.83396e+11, 0, -1166.99, 5332.36, 0, 1.0241e+26, 5.0619e+07, 1.81526e+08, Neptune
