x, y, z, ux, uy, uz, masse, radius, time, name
1.52481e+09, 7.36404e+09, 0, -9.68722, 14.9742, 0, 2e+30, 1.3627e+09, 4.1999e+08, Sun
2.39101e+10, -1.34676e+11, 0, 30278.7, 4857.74, 0, 6e+24, 1.96618e+07, 4.1999e+08, Earth
2.32364e+10, 2.53249e+11, 0, -23100.8, 2067.44, 0, 6.42e+23, 9.33507e+06, 4.1999e+08, Mars
-1.03698e+11, 1.49673e+11, 0, -29502.7, 1918.16, 0, 3.30104e+23, 7.47881e+06, 4.1999e+08, Mercury
-1.23391e+11, 1.11866e+10, 0, -837.366, -30509.1, 0, 4.86732e+24, 1.83375e+07, 4.1999e+08, Venus
1.55848e+11, -8.90985e+11, 0, 11793.1, 3790.17, 0, 1.89813e+27, 1.33947e+08, 4.1999e+08, Jupiter
-1.30748e+12, 6.38952e+11, 0, -4158.47, -8693.55, 0, 5.68319e+26, 8.96132e+07, 4.1999e+08, Saturn
1.7904e+12, 2.39868e+12, 0, -5377.22, 3940.48, 0, 8.68103e+25, 4.79062e+07, 4.1999e+08, Uranus
3.97699e+12, 2.19828e+12, 0, -2609.97, 4788.9, 0, 1.0241e+26, 5.0619e+07, 4.1999e+08, Neptune
