x, y, z, ux, uy, uz, masse, radius, time, name
2.29969e+09, 3.60173e+09, 0, 3.30034, 25.7524, 0, 2e+30, 1.3627e+09, 2.54102e+08, Sun
-8.44564e+10, 1.21262e+11, 0, -24853.5, -17235.6, 0, 6e+24, 1.96618e+07, 2.54102e+08, Earth
3.87138e+10, -2.44373e+11, 0, 22745, 3324.19, 0, 6.42e+23, 9.33507e+06, 2.54102e+08, Mars
-8.27198e+10, -1.5732e+11, 0, 27740.4, 5867.26, 0, 3.30104e+23, 7.47881e+06, 2.54102e+08, Mercury
-7.12182e+09, 1.09314e+11, 0, -36620.4, 2632, 0, 4.86732e+24, 1.83375e+07, 2.54102e+08, Venus
-1.09922e+12, 2.34255e+10, 0, -175.162, -10124.3, 0, 1.89813e+27, 1.33947e+08, 2.54102e+08, Jupiter
-4.51385e+10, 1.47711e+12, 0, -9511.9, -450.704, 0, 5.68319e+26, 8.96132e+07, 2.54102e+08, Saturn
2.54098e+12, 1.59753e+12, 0, -3569.91, 5606.26, 0, 8.68103e+25, 4.79062e+07, 2.54102e+08, Uranus
4.32925e+12, 1.36621e+12, 0, -1622.23, 5210.65, 0, 1.0241e+26, 5.0619e+07, 2.54102e+08, Neptune
