x, y, z, ux, uy, uz, masse, radius, time, name
9.17246e+08, 5.42396e+08, 0, 13.0066, 12.75, 0, 2e+30, 1.3627e+09, 1.07222e+08, Sun
-1.43287e+11, -2.71597e+10, 0, 5389.44, -29496.4, 0, 6e+24, 1.96618e+07, 1.07222e+08, Earth
-2.06133e+11, -1.32634e+11, 0, 12548.8, -19644, 0, 6.42e+23, 9.33507e+06, 1.07222e+08, Mars
3.7526e+10, -8.99038e+10, 0, 30210.5, 33958.6, 0, 3.30104e+23, 7.47881e+06, 1.07222e+08, Mercury
-6.01237e+10, -9.44117e+10, 0, 28747.5, -16915.5, 0, 4.86732e+24, 1.83375e+07, 1.07222e+08, Venus
-4.10675e+10, 9.45206e+11, 0, -11876.9, 1287.69, 0, 1.89813e+27, 1.33947e+08, 1.07222e+08, Jupiter
1.17553e+12, 9.28744e+11, 0, -5898.75, 7310.43, 0, 5.68319e+26, 8.96132e+07, 1.07222e+08, Saturn
2.92183e+12, 7.0445e+11, 0, -1570.44, 6446.22, 0, 8.68103e+25, 4.79062e+07, 1.07222e+08, Uranus
4.4997e+12, 5.83839e+11, 0, -692.177, 5415.38, 0, 1.0241e+26, 5.0619e+07, 1.07222e+08, Neptune
