x, y, z, ux, uy, uz, masse, radius, time, name
5.22977e+08, 2.24648e+08, 0, 11.8919, 7.73571, 0, 2e+30, 1.3627e+09, 7.61184e+07, Sun
-1.46265e+11, 1.44538e+09, 0, -585.925, -29991.1, 0, 6e+24, 1.96618e+07, 7.61184e+07, Earth
1.76211e+11, 1.78544e+11, 0, -16447.6, 16098.3, 0, 6.42e+23, 9.33507e+06, 7.61184e+07, Mars
-3.48433e+11, 4.12917e+10, 0, -5227.24, -10608, 0, 3.30104e+23, 7.47881e+06, 7.61184e+07, Mercury
9.90348e+10, 6.81238e+09, 0, -2644.89, 37695.9, 0, 4.86732e+24, 1.83375e+07, 7.61184e+07, Venus
3.21525e+11, 8.30957e+11, 0, -11087.6, 6108.51, 0, 1.89813e+27, 1.33947e+08, 7.61184e+07, Jupiter
1.33537e+12, 6.85097e+11, 0, -4343.21, 8307.76, 0, 5.68319e+26, 8.96132e+07, 7.61184e+07, Saturn
2.96369e+12, 5.02437e+11, 0, -1119.29, 6538.39, 0, 8.68103e+25, 4.79062e+07, 7.61184e+07, Uranus
4.51811e+12, 4.15036e+11, 0, -491.286, 5437.53, 0, 1.0241e+26, 5.0619e+07, 7.61184e+07, Neptune
