x, y, z, ux, uy, uz, masse, radius, time, name
7.93834e+07, 1.69456e+07, 0, 5.52072, 1.42965, 0, 2e+30, 1.3627e+09, 2.77344e+07, Sun
1.23245e+11, -8.17811e+10, 0, 16203.2, 25049.1, 0, 6e+24, 1.96618e+07, 2.77344e+07, Earth
-2.10793e+11, 1.28827e+11, 0, -12224.8, -19793.9, 0, 6.42e+23, 9.33507e+06, 2.77344e+07, Mars
-3.6133e+11, -2.34938e+10, 0, 936.229, -10782.8, 0, 3.30104e+23, 7.47881e+06, 2.77344e+07, Mercury
-1.01298e+11, 3.65724e+10, 0, -12713.9, -32524.3, 0, 4.86732e+24, 1.83375e+07, 2.77344e+07, Venus
7.4068e+11, 3.68459e+11, 0, -5283.04, 12466.8, 0, 1.89813e+27, 1.33947e+08, 2.77344e+07, Jupiter
1.48117e+12, 2.58019e+11, 0, -1635.91, 9210.16, 0, 5.68319e+26, 8.96132e+07, 2.77344e+07, Saturn
3.0007e+12, 1.83819e+11, 0, -407.897, 6619.62, 0, 8.68103e+25, 4.79062e+07, 2.77344e+07, Uranus
4.53438e+12, 1.51402e+11, 0, -179.697, 5457.02, 0, 1.0241e+26, 5.0619e+07, 2.77344e+07, Neptune
