x, y, z, ux, uy, uz, masse, radius, time, name
2.34335e+09, 4.18242e+09, 0, 0.918117, 25.8515, 0, 2e+30, 1.3627e+09, 2.76566e+08, Sun
1.28429e+11, 7.31977e+10, 0, -14650, 27077, 0, 6e+24, 1.96618e+07, 2.76566e+08, Earth
1.97242e+11, 1.55956e+11, 0, -14364, 18391.4, 0, 6.42e+23, 9.33507e+06, 2.76566e+08, Mars
-2.96839e+11, 7.49319e+10, 0, -9959.85, -10957.5, 0, 3.30104e+23, 7.47881e+06, 2.76566e+08, Mercury
-5.27339e+10, 1.05082e+11, 0, -31748.9, -11663, 0, 4.86732e+24, 1.83375e+07, 2.76566e+08, Venus
-1.07532e+12, -2.02588e+11, 0, 2288.73, -9913.18, 0, 1.89813e+27, 1.33947e+08, 2.76566e+08, Jupiter
-2.57572e+11, 1.45149e+12, 0, -9368.63, -1820.59, 0, 5.68319e+26, 8.96132e+07, 2.76566e+08, Saturn
2.45763e+12, 1.72141e+12, 0, -3848.39, 5421.72, 0, 8.68103e+25, 4.79062e+07, 2.76566e+08, Uranus
4.29124e+12, 1.48276e+12, 0, -1760.76, 5165.01, 0, 1.0241e+26, 5.0619e+07, 2.76566e+08, Neptune
