x, y, z, ux, uy, uz, masse, radius, time, name
2.19248e+09, 5.74919e+09, 0, -5.36189, 23.7652, 0, 2e+30, 1.3627e+09, 3.38774e+08, Sun
1.10635e+11, 1.02871e+11, 0, -19597.1, 23018.1, 0, 6e+24, 1.96618e+07, 3.38774e+08, Earth
2.48466e+11, 4.68917e+10, 0, -3560.02, 22834.7, 0, 6.42e+23, 9.33507e+06, 3.38774e+08, Mars
-3.33259e+11, -5.30709e+10, 0, 3407.3, -11255.2, 0, 3.30104e+23, 7.47881e+06, 3.38774e+08, Mercury
-7.80573e+10, 9.04899e+10, 0, -25437.3, -20085.1, 0, 4.86732e+24, 1.83375e+07, 3.38774e+08, Venus
-7.31275e+11, -7.36863e+11, 0, 8532.24, -6581.18, 0, 1.89813e+27, 1.33947e+08, 3.38774e+08, Jupiter
-8.03596e+11, 1.22438e+12, 0, -7945.35, -5382.68, 0, 5.68319e+26, 8.96132e+07, 3.38774e+08, Saturn
2.19538e+12, 2.04109e+12, 0, -4569.07, 4840.95, 0, 8.68103e+25, 4.79062e+07, 3.38774e+08, Uranus
4.16993e+12, 1.79967e+12, 0, -2137.33, 5019.39, 0, 1.0241e+26, 5.0619e+07, 3.38774e+08, Neptune
